genero;genero_diverso;edad;discapacidad;nivel_formacion;carrera_grado;tipo_universidad;provincia;region;id;rubro;dotacion;origen_capital;dotacion_rh;puesto;tipo_contratacion;funcion_rh;personas_a_cargo;anios_en_empresa;anios_en_puesto;anios_experiencia;sueldo_bruto;beneficios;bono;ajuste;ajuste_porcentaje;ajuste_mes;otros_proyectos;erp;nombre_area;mate;idioma_exigencia;idioma_porcentaje;contactos_linkedin;satisfaccion;busqueda;beneficios_expectativa;rh_una_palabra;pregunta_bizarra;teletrabajo;elementos;valoracion_gestion_empresa;es_lider;rangos_aumentos
Masculino;No;41;No tengo ninguna discapacidad;Terciario completo;Analista de Sistemas;No estudié en la Universidad;Tucumán;NOA;11;"Textiles; vestido; cuero; calzado";197;Nacional;1;Analista;Full time;Administración de personal;0;0;0;10;60241;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;0;Enero;No;RH Pro;Oficina de Personal;Si, está permitido;No;0;300;5;No estoy buscando cambiar;Obra Social. Home Office. Un día libre en el mes;Desafío;NA;NA;NA;NA;0;Sin aumentos
Masculino;No;37;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;12;"Servicios financieros; seguros";150;Multinacional;3;Responsable;Full time;Compensaciones y beneficios;0;1;1;13;142000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Gimnasio, Frutas y snacks, Seguro de vida (adicionales a los de ley), Home office;Un sueldo;2 ajustes;46;Julio;Si, en proyectos ad honorem;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;Si;0.7;1100;2;No,  pero escucho ofertas;Descuentos en movilidad alternativa (bicis, monopatín,etc);Operativo;Cómo te ves de acá a 5 años?;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Silla ergonómica, Kit sanitizante;4;1;Más de 30
Masculino;No;33;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Buenos Aires;Centro;13;"Textiles; vestido; cuero; calzado";450;Nacional;7;HRBP;Full time;Generalista;0;4;0;9;65662;Medicina prepaga / Plan de salud, Tarjeta de descuento, Licencias extendidas;No recibo bono;1 solo;30;Septiembre;No;Buenos Aires software;Capital Humano;No, está prohibido;No;0.1;500;3;No,  pero escucho ofertas;Internet pago;Desarrollo;Mentiras por la empresa?;Voy rotando entre la oficina y el trabajo;Kit sanitizante;4;0;Entre 21 y 30
Masculino;No;31;Visual;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;14;IT;1600;Multinacional;25;Analista;Full time;Reclutamiento y selección;0;0;2;5;70000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Frutas y snacks, Abono de celular, Abono de internet, Reintegros en capacitación, Idiomas, Home office, Comedor / Almuerzos;No recibo bono;3 o más ajustes;26;Septiembre;No;No tenemos sistema de gestión;Employee Experience;Si, está permitido;Si;0.4;7000;5;No estoy buscando cambiar;Sueldo dolarizado.;Estratégico.;NA;Si;Computadora / Laptop, Silla ergonómica, Abono de celular, Abono de internet;5;0;Entre 21 y 30
Femenino;No;39;No tengo ninguna discapacidad;Maestría completa;Psicología;Universidad Privada;Ciudad Autónoma de Buenos Aires;Centro;15;Servicios de consultoría;10;Nacional;5;Gerente;Full time;Diseño organizacional;9;15;5;10;150000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Gimnasio, Frutas y snacks, Abono de celular, Préstamos, Reintegros en capacitación, Home office, Comedor / Almuerzos, Charter / Servicio de transporte;Tres sueldos o más;2 ajustes;60;Enero;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;Si;0.5;30000;5;No estoy buscando cambiar;NA;NA;NA;Si;Computadora / Laptop, Silla ergonómica;5;1;Más de 30
Femenino;No;26;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;16;Hotelería, restauración, turismo;360;Nacional;10;Analista;Full time;Reclutamiento y selección;0;1;1;3;65000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Gimnasio, Frutas y snacks, Abono de celular, Idiomas, Home office, Comedor / Almuerzos, Spotify / Netflix / Servicios de Streaming;No recibo bono;No tuve ajustes;0;Enero;No;RAET;Recursos Humanos;Si, está permitido;No;0;10000;4;Sí, activamente;Flexibilidad horaria, muchos días de home office, vacaciones extendidas, ingles;Estar;Acá trabajan en serio hasta las 18 hs como parece? nadie viene los fines de semana?;Si;Computadora / Laptop, Silla ergonómica;5;0;Sin aumentos
Masculino;No;27;Visual;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;17;Función pública;100;Nacional;4;Responsable;Full time;Administración de personal;50;3;3;3;35000;Abono de celular, Seguro de vida (adicionales a los de ley);No recibo bono;2 ajustes;0;Enero;Si, en emprendimiento relacionado con RRHH;Bejerman;Recursos Humanos;Si, está permitido;No;0;300;4;No,  pero escucho ofertas;Carrera profesional;Talentos;Si tenía hijos.;Si;No me enviaron ni reintegraron nada;3;1;Sin aumentos
Femenino;Si;36;No tengo ninguna discapacidad;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Ciudad Autónoma de Buenos Aires;Centro;18;Otros;170;Multinacional;3;Analista;Plazo Fijo;Administración de personal;0;10;10;12;100000;Medicina prepaga / Plan de salud, Horarios flexibles, Gimnasio, Frutas y snacks, Seguro de vida (adicionales a los de ley), Préstamos, Idiomas;Menos de un sueldo;2 ajustes;35;Julio;No;RH Pro;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Más de 30
Femenino;No;24;No tengo ninguna discapacidad;Universitario en curso;Psicología;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;19;IT;180;Nacional;5;Analista;Full time;Capacitación y desarrollo;0;2;0;2;52000;Medicina prepaga / Plan de salud, Frutas y snacks, Idiomas, Home office;No recibo bono;1 solo;30;Abril;No;Bejerman;Recursos Humanos;Si, está permitido;No;0.1;5100;4;No estoy buscando cambiar;NA;NA;NA;Si;Computadora / Laptop;3;0;Entre 21 y 30
Femenino;No;29;No tengo ninguna discapacidad;Terciario completo;No estudié en la Universidad;No estudié en la Universidad;Ciudad Autónoma de Buenos Aires;Centro;20;IT;52;Nacional;1;Responsable;Full time;Todo;0;1;1;3;98000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Gimnasio, Frutas y snacks, Reintegros en capacitación, Idiomas, Home office;Tres sueldos o más;2 ajustes;23;Septiembre;No;No tenemos sistema de gestión;Capital Humano;Si, está permitido;No;0.1;3700;4;No,  pero escucho ofertas;NA;Responsabilidad;NA;NA;NA;NA;1;Entre 21 y 30
Femenino;No;37;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Chaco;NEA;21;Hotelería, restauración, turismo;450;Nacional;5;Jefe;Full time;Generalista;4;3;3;12;73000;Medicina prepaga / Plan de salud, Abono de celular, Reintegros en capacitación;No recibo bono;No tuve ajustes;0;Enero;Si, en emprendimiento relacionado con RRHH;Microsoft Dynamics;Recursos Humanos;Si, está permitido;No;0.3;500;4;No,  pero escucho ofertas;Flexibilidad horaria y bono .;desarrollo;NA;Si;Computadora / Laptop, Abono de celular;3;1;Sin aumentos
Masculino;No;33;No tengo ninguna discapacidad;Maestría completa;Contador Público;Universidad Pública;San Juan;Cuyo;22;Minería (carbón, otra minería);15;Nacional;1;Jefe;Full time;Generalista;0;7;5;7;190000;Medicina prepaga / Plan de salud, Horarios flexibles, Frutas y snacks, Abono de celular, Posgrados, Home office;Dos sueldos;2 ajustes;56;Octubre;Si, en emprendimiento relacionado con RRHH;Tango;Relaciones Laborales;Si, está permitido;No;0.1;2400;4;No,  pero escucho ofertas;Ademas de los que ya tengo, Gimnasio, Almuerzo, Vacaciones extendidas;Solucionador;Me han hecho, sabes hacer asados?;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Kit sanitizante, Abono de celular;3;1;Más de 30
Masculino;No;39;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Privada;San Juan;Cuyo;23;Agro;320;Nacional;5;Gerente;Full time;Generalista;10;8;2;10;230000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Combustible;Dos sueldos;1 solo;10;Agosto;No;sistema propio;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;Entre 1 y 10
Femenino;No;35;No tengo ninguna discapacidad;Universitario completo;Lic en Turismo;Universidad Pública;San Juan;Cuyo;24;Minería (carbón, otra minería);150;Nacional;2;Jefe;Full time;Gestión de expatriados;5;3;2;8;70800;Medicina prepaga / Plan de salud, Horarios flexibles, Frutas y snacks, Abono de celular, Home office;No recibo bono;1 solo;20;Julio;Si, en emprendimiento no relacionado con RRHH;Tango;Recursos Humanos;Si, está permitido;No;0;1454;3;Sí, activamente;Horario Flexible. Movilidad. Vacaciones Extendidas;Gestión;NA;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;4;1;Entre 11 y 20
Femenino;No;31;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;San Juan;Cuyo;25;Función pública;400;Nacional;6;Administrativo;Full time;Administración de personal;0;3;3;8;41000;No tengo beneficios adicionales, Charter / Servicio de transporte;No recibo bono;No tuve ajustes;0;Enero;No;No tenemos sistema de gestión;Oficina de Personal;Si, está permitido;No;0;0;2;No,  pero escucho ofertas;NA;GESTION;Si pensaba tener hijos en el corto plazo;Si;No me enviaron ni reintegraron nada;2;0;Sin aumentos
Femenino;No;39;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;San Juan;Cuyo;26;Construcción;50;Nacional;2;Responsable;Full time;Generalista;1;2;2;14;30000;Abono de celular, Préstamos, Combustible, Reintegros en capacitación;Un sueldo;No tuve ajustes;0;NA;Si, en emprendimiento relacionado con RRHH;Tango;Recursos Humanos;Si, está permitido;No;0;1000;3;No,  pero escucho ofertas;Mayor sueldo;Intermediario;No recuerdo. Hay muchas;No;No estoy trabajando en home office;3;1;Sin aumentos
Femenino;Si;34;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Privada;Mendoza;Cuyo;27;Agro;65;Nacional;1;Responsable;Full time;Generalista;1;5;3;2;55000;Frutas y snacks, Préstamos, Posgrados, Reintegros en capacitación;Menos de un sueldo;2 ajustes;20;Julio;Si, en emprendimiento relacionado con RRHH;Enlatado propio;Recursos Humanos;Si, está permitido;No;0.1;260;4;No,  pero escucho ofertas;Aprendizaje;Integracion;-;No;No estoy trabajando en home office;5;1;Entre 11 y 20
Femenino;No;38;No tengo ninguna discapacidad;Universitario completo;Abogacía;Universidad Privada;Santa Fe;Patagonia;28;Comercio;110;Nacional;2;Responsable;Full time;Generalista;0;4;4;20;40000;No tengo beneficios adicionales, Horarios flexibles;No recibo bono;1 solo;10;Agosto;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0;12000;3;Sí, activamente;medicina prepaga para la familia, horarios flexible, algo de home office;apasionante;no he tenido estas preguntas;No;No estoy trabajando en home office;2;1;Entre 1 y 10
Masculino;No;40;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Córdoba;Centro;29;"Alimentación; bebidas; tabaco";120;Nacional;2;Gerente;Full time;Generalista;6;4;4;13;245000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Frutas y snacks, Abono de celular, Préstamos, Reintegros en capacitación, Idiomas;Un sueldo;3 o más ajustes;24;Septiembre;No;Infocor;Recursos Humanos;Si, está permitido;No;0;11500;5;No estoy buscando cambiar;Algo relacionado al descuento de ganancias;Gestión;Ninguna;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Kit sanitizante, Abono de celular;4;1;Entre 21 y 30
Femenino;No;36;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Tucumán;NOA;30;Construcción;120;Nacional;1;Jefe;Full time;Generalista;0;7;7;14;100000;Tarjeta de descuento, Home office;No recibo bono;3 o más ajustes;5;Septiembre;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0;50;3;Sí, activamente;Respeto;Complejidad;NA;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;4;1;Entre 1 y 10
Femenino;No;36;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;San Juan;Cuyo;31;Comercio;65;Multinacional;1;Jefe;Full time;Generalista;65;10;10;12;68000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Seguro de vida (adicionales a los de ley), Préstamos, Comedor / Almuerzos;Dos sueldos;1 solo;23;Septiembre;Si, en emprendimiento no relacionado con RRHH;Meta4;Recursos Humanos;Si, está permitido;Si;0.1;0;2;Sí, activamente;horarios flexibles;desafío continuo;NA;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;1;Entre 21 y 30
Femenino;Si;28;No tengo ninguna discapacidad;Secundario completo;RRHH / RRLL / RRTT;Universidad Privada;San Juan;Cuyo;32;"Alimentación; bebidas; tabaco";150;Nacional;3;Administrativo;Full time;Administración de personal;0;9;9;9;40000;Horarios flexibles, Vacaciones extendidas, Abono de celular, Home office, Comedor / Almuerzos;Menos de un sueldo;No tuve ajustes;10;Enero;No;Tango;Recursos Humanos;Si, está permitido;No;0.1;20;4;No,  pero escucho ofertas;seria buena idea reconocar la obra social;felicidad;si fuera una planta cual seria?;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;3;0;Entre 1 y 10
Masculino;No;33;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Tucumán;NOA;33;Educación;80;Nacional;1;Jefe;Full time;Generalista;3;0;0;4;30900;No tengo beneficios adicionales;No recibo bono;1 solo;10;Septiembre;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0;NA;3;No,  pero escucho ofertas;Obra Social;Compromiso;NA;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;4;1;Entre 1 y 10
Femenino;No;38;No tengo ninguna discapacidad;Maestría en curso;Lic. en Ciencias de la Comunicación;Universidad Pública;Tucumán;NOA;34;Agro;352;Nacional;6;Jefe;Full time;Generalista;5;3;1;12;105000;No tengo beneficios adicionales;No recibo bono;1 solo;19;Agosto;Si, en emprendimiento relacionado con RRHH;GESPER - Noanet;Recursos Humanos;Si, está permitido;No;0.1;5500;4;No,  pero escucho ofertas;Flex time - vacaciones días habiles;Gestión;NA;No;NA;3;1;Entre 11 y 20
Masculino;No;47;Obesidad;Terciario completo;No estudié en la Universidad;No estudié en la Universidad;Tucumán;NOA;35;Industria autopartista;360;Nacional;5;Gerente;Full time;Generalista;5;2;2;3;110000;Comedor / Almuerzos, Spotify / Netflix / Servicios de Streaming;No recibo bono;2 ajustes;35;Agosto;Si, en emprendimiento no relacionado con RRHH;Tango;Recursos Humanos;Si, está permitido;No;0;150;5;No estoy buscando cambiar;movilidad;Gestión;¿Tenés casa propia?;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Abono de celular;4;1;Más de 30
Femenino;No;27;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Tucumán;NOA;36;"Servicios públicos (agua;gas; electricidad)";143;Nacional;2;Responsable;Full time;Administración de personal;1;3;3;5;54000;No tengo beneficios adicionales;No recibo bono;1 solo;25;Diciembre;No;Tango;Recursos Humanos;Si, está permitido;No;0;600;3;Sí, activamente;Bonificación anual por eficiencia, gimnasio;Imprescindible;NA;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;1;Entre 21 y 30
Femenino;No;29;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Privada;Buenos Aires;Centro;37;"Servicios financieros; seguros";250;Nacional;3;Responsable;Full time;Generalista;2;2;2;8;62000;No tengo beneficios adicionales, Préstamos;No recibo bono;No tuve ajustes;0;NA;Si, en emprendimiento relacionado con RRHH;Enlatado propio;Recursos Humanos;No, está prohibido;No;0;17000;2;Sí, activamente;Más vacaciones, horarios flexibles, medicina prepaga;Empatía;Si iba al dentista regularmente;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;2;1;Sin aumentos
Masculino;No;36;No tengo ninguna discapacidad;Secundario completo;RRHH / RRLL / RRTT;No estudié en la Universidad;San Juan;Cuyo;38;Agro;150;Nacional;2;Analista;Full time;Administración de personal;0;4;4;9;110000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Préstamos, Combustible, Comedor / Almuerzos;Menos de un sueldo;1 solo;10;Julio;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0;50;4;Sí, activamente;Homeoffice;Humano;Que me das vos q el otro postulante no?;NA;NA;NA;0;Entre 1 y 10
Femenino;No;31;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;39;Industrias químicas;10;Multinacional;1;HRBP;Tercerizado / Outsourced;Al ser HRBP un poco de todo payroll, capacitacion, comunicacion interna,;0;1;1;5;60565;Frutas y snacks, Me ofrecieron medicina prepaga pero me quede en mi obra social, con lo cual bo obtuve el beneficio. Hoy por la pandemia estamos de Home office y nos pagan una parte de internet (es por la cuarentena);No recibo bono;1 solo;17;Abril;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;Si;1;NA;3;No,  pero escucho ofertas;Home offices, bono por desempeño, medicina prepaga, 1 semana mas de vacaciones;Empatia;N/A;Si;Computadora / Laptop, Abono de internet pero no el 100%;4;0;Entre 11 y 20
Femenino;No;31;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Tucumán;NOA;40;Comercio;46;Nacional;1;Responsable;Full time;Generalista;0;3;3;8;50000;No tengo beneficios adicionales;No recibo bono;1 solo;10;Marzo;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0;2823;3;No,  pero escucho ofertas;Prepaga;servicio;Sobre mi religión;No;No estoy trabajando en home office;3;1;Entre 1 y 10
Masculino;Si;40;No tengo ninguna discapacidad;Secundario completo;RRHH / RRLL / RRTT;Universidad Privada;Neuquén;Patagonia;41;Oil & gas;200;Nacional;7;Responsable;Full time;Relaciones laborales;2;2;5;14;140000;Medicina prepaga / Plan de salud;No recibo bono;No tuve ajustes;0;NA;No;Tango;Recursos Humanos;Si, está permitido;No;NA;2000;3;No,  pero escucho ofertas;Planes de formación;Humanos;Porque no tenes hijos a tu edad? Sufrís alguna enfermedad?;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;1;1;Sin aumentos
Femenino;No;41;No tengo ninguna discapacidad;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Córdoba;Centro;42;"Transporte (incluyendo aviación civil; ferrocarriles por carretera)";1000;Nacional;8;Analista;Full time;Generalista;0;0;0;15;49000;Medicina prepaga / Plan de salud;No recibo bono;No tuve ajustes;0;Febrero;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0;421;3;Sí, activamente;Obra social;Empatia;No recuerdo;Si;No me enviaron ni reintegraron nada;2;0;Sin aumentos
Femenino;No;34;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Tucumán;NOA;43;Servicios de consultoría;3000;Nacional;3;Responsable;Full time;Generalista;50;5;5;8;45000;Medicina prepaga / Plan de salud, Horarios flexibles, Combustible, Home office;No recibo bono;1 solo;20;Mayo;No;No tenemos sistema de gestión;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;Entre 11 y 20
Femenino;No;36;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Ciudad Autónoma de Buenos Aires;Centro;44;Comercio;75;Nacional;2;Analista;Full time;Administración de personal;3;5;3;10;71500;Medicina prepaga / Plan de salud, Comedor / Almuerzos, Bono Anual dependiendo de los resultados del año;Menos de un sueldo;1 solo;14;Julio;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0.3;3052;3;No,  pero escucho ofertas;Capacitación en Idiomas, tarjeta de  Descuentos, Gimnasio;Servicio;No me acuerdo, pero si me trataron de levantar en una entrevista y yo era la entrevistadora;Si;No me enviaron ni reintegraron nada;3;0;Entre 11 y 20
